name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;465;0;488;3101;1074;3101;1237;0
header;239;133;239;165;1919;165;1919;133
A;1149;130;1149;132;1152;132;1152;130
A;637;643;637;649;645;649;645;643
A;1048;713;1048;718;1083;718;1083;713
B;808;935;808;977;837;977;837;935
B;492;935;492;978;523;978;523;935
A;1052;1391;1052;1421;1076;1421;1076;1391
A;967;1427;967;1430;970;1430;970;1427
A;528;1729;528;1738;534;1738;534;1729
B;764;1761;764;1780;779;1780;779;1761
B;1055;2064;1055;2091;1076;2091;1076;2064
B;565;2612;565;2631;579;2631;579;2612
