name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;221;0;475;3075;1022;3075;1022;0
header;194;169;194;219;1821;219;1821;169
A;985;241;985;266;1006;266;1006;241
A;994;503;994;508;995;508;995;503
A;328;638;328;664;346;664;346;638
A;459;659;459;670;465;670;465;659
B;986;906;986;932;1005;932;1005;906
A;346;1253;346;1258;349;1258;349;1253
D;635;1321;635;1346;664;1346;664;1321
C;983;1496;983;1525;1005;1525;1005;1496
D;987;2292;987;2319;1007;2319;1007;2292
A;898;2640;898;2665;911;2665;911;2640
A;885;2925;885;2927;889;2927;889;2925
A;977;2928;977;2928;977;2928;977;2928
